'CAUSE 1.0	K AH Z
RUB 1.0	R AH B
RUBBED 1.0	R AH B D
RUBBER 1.0	R AH B ER
RUBBERS 1.0	R AH B ER Z
RUBBERY 1.0	R AH B ER IY
RUBBING 1.0	R AH B IH NG
RUBBISH 1.0	R AH B IH SH
RUBBLE 1.0	R AH B AH L
RUBE 1.0	R UW B
RUBELLA 1.0	R UW B EH L AH
RUBEN 1.0	R UW B AH N
RUBENS 1.0	R UW B AH N Z
RUBENSTEIN 1.0	R UW B AH N S T AY N
RUBENSTEIN 1.0	R UW B AH N S T IY N
RUBIES 1.0	R UW B IY Z
RUBIK'S 1.0	R UW B IH K S
RUBIN 1.0	R UW B IH N
RUBIN'S 1.0	R UW B IH N Z
RUBINSTEIN 1.0	R UW B IH N S T AY N
RUBINSTEIN 1.0	R UW B IH N S T IY N
RUBLE 1.0	R UW B AH L
RUBRIC 1.0	R UW B R IH K
RUBS 1.0	R AH B Z
RUBY 1.0	R UW B IY
RUBY'S 1.0	R UW B IY Z
RUCK 1.0	R AH K
RUCKSACK 1.0	R AH K S AE K
RUCKUS 1.0	R AH K AH S
RUDD 1.0	R AH D
RUDDER 1.0	R AH D ER
RUDDY 1.0	R AH D IY
RUDE 1.0	R UW D
RUDELY 1.0	R UW D L IY
RUDENESS 1.0	R UW D N AH S
RUDER 1.0	R UW D ER
RUDEST 1.0	R UW D AH S T
RUDI 1.0	R UW D IY
RUDIMENTARY 1.0	R UW D AH M EH N T ER IY
RUDIMENTS 1.0	R UW D IH M AH N T S
RUDOLF 1.0	R UW D AA F
RUDOLF 1.0	R UW D AA L F
RUDOLPH 1.0	R UW D AO F
RUDOLPH 1.0	R UW D AO L F
RUDY 1.0	R UW D IY
RUE 1.0	R UW
RUEFUL 1.0	R UW F AH L
RUEFULLY 1.0	R UW F AH L IY
RUFF 1.0	R AH F
RUFFLE 1.0	R AH F AH L
RUFFLED 1.0	R AH F AH L D
RUFFLES 1.0	R AH F AH L Z
RUFFLING 1.0	R AH F AH L IH NG
RUFFLING 1.0	R AH F L IH NG
RUFUS 1.0	R UW F AH S
RUG 1.0	R AH G
RUGBY 1.0	R AH G B IY
RUGGED 1.0	R AH G AH D
RUGS 1.0	R AH G Z
RUIN 1.0	R UW AH N
RUIN 1.0	R UW IH N
RUINED 1.0	R UW AH N D
RUINED 1.0	R UW IH N D
RUINING 1.0	R UW IH N IH NG
RUINOUS 1.0	R UW AH N AH S
RUINS 1.0	R UW AH N Z
RUINS 1.0	R UW IH N Z
RULE 1.0	R UW L
RULEBOOK 1.0	R UW L B UH K
RULED 1.0	R UW L D
RULEMAKING 1.0	R UW L M EY K IH NG
RULER 1.0	R UW L ER
RULERS 1.0	R UW L ER Z
RULES 1.0	R UW L Z
RULING 1.0	R UW L IH NG
RULINGS 1.0	R UW L IH NG Z
RUM 1.0	R AH M
RUMANIA 1.0	R UW M EY N IY AH
RUMBLE 1.0	R AH M B AH L
RUMBLED 1.0	R AH M B AH L D
RUMBLES 1.0	R AH M B AH L Z
RUMBLING 1.0	R AH M B AH L IH NG
RUMBLING 1.0	R AH M B L IH NG
RUMBLINGS 1.0	R AH M B AH L IH NG Z
RUMBLINGS 1.0	R AH M B L IH NG Z
RUMINATIONS 1.0	R UW M IH N EY SH AH N Z
RUMMAGE 1.0	R AH M IH JH
RUMMAGED 1.0	R AH M IH JH D
RUMMAGING 1.0	R AH M IH JH IH NG
RUMMY 1.0	R AH M IY
RUMOR 1.0	R UW M ER
RUMORED 1.0	R UW M ER D
RUMORS 1.0	R UW M ER Z
RUMOUR 1.0	R UW M ER
RUMOURS 1.0	R UW M ER Z
RUMP 1.0	R AH M P
RUMPLED 1.0	R AH M P AH L D
RUMSFELD 1.0	R AH M Z F EH L D
RUN 1.0	R AH N
RUNABOUT 1.0	R AH N AH B AW T
RUNAROUND 1.0	R AH N AH R AW N
RUNAROUND 1.0	R AH N AH R AW N D
RUNAWAY 1.0	R AH N AH W EY
RUNAWAYS 1.0	R AH N AH W EY Z
RUNDOWN 1.0	R AH N D AW N
RUNE 1.0	R UW N
RUNES 1.0	R UW N Z
RUNG 1.0	R AH NG
RUNGS 1.0	R AH NG Z
RUNNER 1.0	R AH N ER
RUNNERS 1.0	R AH N ER Z
RUNNING 1.0	R AH N IH NG
RUNNINGS 1.0	R AH N IH NG Z
RUNNY 1.0	R AH N IY
RUNOFF 1.0	R AH N AO F
RUNS 1.0	R AH N Z
RUNWAY 1.0	R AH N W EY
RUNWAYS 1.0	R AH N W EY Z
RUNYON 1.0	R AH N Y AH N
RUPE 1.0	R UW P
RUPEE 1.0	R UW P IY
RUPEES 1.0	R UW P IY Z
RUPERT 1.0	R UW P ER T
RUPIAH 1.0	R UW P AY AH
RUPTURE 1.0	R AH P CH ER
RUPTURED 1.0	R AH P CH ER D
RUPTURES 1.0	R AH P CH ER Z
RURAL 1.0	R UH R AH L
RUSE 1.0	R UW Z
RUSH 1.0	R AH SH
RUSH'S 1.0	R AH SH IH Z
RUSHDIE 1.0	R AH SH D IY
RUSHED 1.0	R AH SH T
RUSHER 1.0	R AH SH ER
RUSHES 1.0	R AH SH AH Z
RUSHES 1.0	R AH SH IH Z
RUSHING 1.0	R AH SH IH NG
RUSHMORE 1.0	R AH SH M AO R
RUSK 1.0	R AH S K
RUSKIN 1.0	R AH S K IH N
RUSS 1.0	R AH S
RUSSEL 1.0	R AH S AH L
RUSSELL 1.0	R AH S AH L
RUSSELL'S 1.0	R AH S AH L Z
RUSSET 1.0	R AH S IH T
RUSSIA 1.0	R AH SH AH
RUSSIA'S 1.0	R AH SH AH Z
RUSSIAN 1.0	R AH SH AH N
RUSSIANS 1.0	R AH SH AH N Z
RUSSO 1.0	R UW S OW
RUST 1.0	R AH S T
RUSTED 1.0	R AH S T AH D
RUSTED 1.0	R AH S T IH D
RUSTIC 1.0	R AH S T IH K
RUSTING 1.0	R AH S T IH NG
RUSTLE 1.0	R AH S AH L
RUSTLING 1.0	R AH S L IH NG
RUSTY 1.0	R AH S T IY
RUT 1.0	R AH T
RUTGERS 1.0	R AH T G ER Z
RUTH 1.0	R UW TH
RUTH'S 1.0	R UW TH S
RUTHERFORD 1.0	R AH TH ER F ER D
RUTHIE 1.0	R UW TH IY
RUTHLESS 1.0	R UW TH L AH S
RUTHLESSLY 1.0	R UW TH L AH S L IY
RUTHLESSNESS 1.0	R UW TH L AH S N AH S
RUTLAND 1.0	R AH T L AH N D
RUTLEDGE 1.0	R AH T L IH JH
RUTS 1.0	R AH T S
RUTTED 1.0	R AH T IH D
RWANDA 1.0	R AH W AA N D AH
RWANDA 1.0	R UW AA N D AH
RWANDA'S 1.0	R AH W AA N D AH Z
RWANDA'S 1.0	R UW AA N D AH Z
RWANDAN 1.0	R AH W AA N D AH N
RWANDAN 1.0	R UW AA N D AH N
RWANDANS 1.0	R AH W AA N D AH N Z
RWANDANS 1.0	R UW AA N D AH N Z
RYAN 1.0	R AY AH N
RYAN'S 1.0	R AY AH N Z
RYANS 1.0	R AY AH N Z
RYDER 1.0	R AY D ER
RYE 1.0	R AY
S. 1.0	EH S
S.'S 1.0	EH S IH Z
SAAB 1.0	S AA B
SABA 1.0	S AA B AH
SABAN 1.0	S EY B AH N
SABBATH 1.0	S AE B AH TH
SABBATICAL 1.0	S AH B AE T IH K AH L
SABBATICALS 1.0	S AH B AE T IH K AH L Z
SABERS 1.0	S EY B ER Z
SABINA 1.0	S AH B IY N AH
SABINE 1.0	S AH B IY N
SABLE 1.0	S EY B AH L
SABOTAGE 1.0	S AE B AH T AA ZH
SABOTAGED 1.0	S AE B AH T AA ZH D
SABOTAGING 1.0	S AE B AH T AA ZH IH NG
SABOTEURS 1.0	S AE B AH T ER Z
SABOTEURS 1.0	S AE B IH T AO R Z
SABRE 1.0	S EY B ER
SABRES 1.0	S EY B ER Z
SABRINA 1.0	S AH B R IY N AH
SAC 1.0	S AE K
SACCHARIN 1.0	S AE K ER AH N
SACCHARINE 1.0	S AE K ER AY N
SACHS 1.0	S AA K S
SACHS 1.0	S AE K S
SACK 1.0	S AE K
SACKED 1.0	S AE K T
SACKING 1.0	S AE K IH NG
SACKS 1.0	S AE K S
SACRAMENT 1.0	S AE K R AH M AH N T
SACRAMENTAL 1.0	S AE K R AH M AH N T AH L
SACRAMENTO 1.0	S AE K R AH M EH N T OW
SACRAMENTS 1.0	S AE K R AH M AH N T S
SACRED 1.0	S EY K R AH D
SACRED 1.0	S EY K R IH D
SACREDNESS 1.0	S EY K R IH D N IH S
SACRIFICE 1.0	S AE K R AH F AY S
SACRIFICED 1.0	S AE K R AH F AY S T
SACRIFICES 1.0	S AE K R AH F AY S IH Z
SACRIFICIAL 1.0	S AE K R AH F IH SH AH L
SACRIFICING 1.0	S AE K R AH F AY S IH NG
SACRILEGE 1.0	S AE K R AH L AH JH
SACRILEGIOUS 1.0	S AE K R AH L EH JH IH S
SACROSANCT 1.0	S AE K R OW S AE NG K T
SAD 1.0	S AE D
SADAT 1.0	S AA D AA T
SADAT 1.0	S AH D AE T
SADDAM 1.0	S AA D AH M
SADDAM 1.0	S AH D AA M
SADDAM'S 1.0	S AA D AH M Z
SADDAM'S 1.0	S AH D AA M Z
SADDENED 1.0	S AE D AH N D
SADDENING 1.0	S AE D AH N IH NG
SADDENING 1.0	S AE D N IH NG
SADDENS 1.0	S AE D AH N Z
SADDER 1.0	S AE D ER
SADDEST 1.0	S AE D AH S T
SADDLE 1.0	S AE D AH L
SADDLEBAGS 1.0	S AE D AH L B AE G Z
SADDLED 1.0	S AE D AH L D
SADDLES 1.0	S AE D AH L Z
SADDLING 1.0	S AE D AH L IH NG
SADDLING 1.0	S AE D L IH NG
SADIE 1.0	S AE D IY
SADISM 1.0	S EY D IH Z AH M
SADIST 1.0	S EY D AH S T
SADISTIC 1.0	S AH D IH S T IH K
SADLY 1.0	S AE D L IY
SADNESS 1.0	S AE D N AH S
SAFARI 1.0	S AH F AA R IY
SAFARIS 1.0	S AH F AA R IY Z
SAFE 1.0	S EY F
SAFECO 1.0	S EY F K OW
SAFEGUARD 1.0	S EY F G AA R D
SAFEGUARDED 1.0	S EY F G AA R D IH D
SAFEGUARDING 1.0	S EY F G AA R D IH NG
SAFEGUARDS 1.0	S EY F G AA R D Z
SAFEKEEPING 1.0	S EY F K IY P IH NG
SAFELY 1.0	S EY F L IY
SAFER 1.0	S EY F ER
SAFES 1.0	S EY F S
SAFEST 1.0	S EY F AH S T
SAFETIES 1.0	S EY F T IY Z
SAFETY 1.0	S EY F T IY
SAFEWAY 1.0	S EY F W EY
SAFFRON 1.0	S AE F R AH N
SAG 1.0	S AE G
SAGA 1.0	S AA G AH
SAGAN 1.0	S EY G AH N
SAGAS 1.0	S AA G AH Z
SAGE 1.0	S EY JH
SAGEBRUSH 1.0	S EY JH B R AH SH
SAGER 1.0	S EY G ER
SAGES 1.0	S EY JH IH Z
SAGGED 1.0	S AE G D
SAGGING 1.0	S AE G IH NG
SAGINAW 1.0	S AE G IH N AO
SAGS 1.0	S AE G Z
SAHARA 1.0	S AH HH EH R AH
SAHARAN 1.0	S AE HH ER AH N
SAID 1.0	S EH D
SAIGON 1.0	S AY G AA N
SAIL 1.0	S EY L
SAILBOAT 1.0	S EY L B OW T
SAILBOATS 1.0	S EY L B OW T S
SAILED 1.0	S EY L D
SAILING 1.0	S EY L IH NG
SAILOR 1.0	S EY L ER
SAILOR'S 1.0	S EY L ER Z
SAILORS 1.0	S EY L ER Z
SAILS 1.0	S EY L Z
SAINSBURY 1.0	S EY N S B EH R IY
SAINT 1.0	S EY N T
SAINTHOOD 1.0	S EY N T HH UH D
SAINTLY 1.0	S EY N T L IY
SAINTS 1.0	S EY N T S
SAKE 1.0	S EY K
SAKES 1.0	S EY K S
SAKHAROV 1.0	S AA K ER AA V
SAKI 1.0	S AA K IY
SAKS 1.0	S AE K S
SAL 1.0	S AE L
SALAAM 1.0	S AH L AA M
SALACIOUS 1.0	S AH L EY SH AH S
SALAD 1.0	S AE L AH D
SALADS 1.0	S AE L AH D Z
SALAMANDER 1.0	S AE L AH M AE N D ER
SALAMANDERS 1.0	S AE L AH M AE N D ER Z
SALAMI 1.0	S AH L AA M IY
SALARIED 1.0	S AE L ER IY D
SALARIES 1.0	S AE L ER IY Z
SALARY 1.0	S AE L ER IY
SALE 1.0	S EY L
SALEABLE 1.0	S EY L AH B AH L
SALEM 1.0	S EY L AH M
SALERNO 1.0	S AH L EH R N OW
SALES 1.0	S EY L Z
SALESMAN 1.0	S EY L Z M AH N
SALESMANSHIP 1.0	S EY L Z M AH N SH IH P
SALESMEN 1.0	S EY L Z M IH N
SALESPEOPLE 1.0	S EY L Z P IY P AH L
SALESPERSON 1.0	S EY L Z P ER S AH N
SALESWOMAN 1.0	S EY L Z W UH M AH N
SALIENT 1.0	S EY L IY AH N T
SALIENT 1.0	S EY L Y AH N T
SALINA 1.0	S AH L IY N AH
SALINAS 1.0	S AH L IY N AH S
SALINAS 1.0	S AH L IY N AH Z
SALINE 1.0	S AH L IY N
SALING 1.0	S EY L IH NG
SALINGER 1.0	S AE L IH N JH ER
SALINGER 1.0	S EY L IH NG ER
SALINITY 1.0	S AH L IH N AH T IY
SALISBURY 1.0	S AE L Z B ER IY
SALIVA 1.0	S AH L AY V AH
SALIVATE 1.0	S AE L AH V EY T
SALIVATING 1.0	S AE L AH V EY T IH NG
SALLE 1.0	S EY L
SALLY 1.0	S AE L IY
SALLY'S 1.0	S AE L IY Z
SALMAN 1.0	S AE M AH N
SALMON 1.0	S AE M AH N
SALMONELLA 1.0	S AE L M AH N EH L AH
SALOMON 1.0	S AE L AH M AH N
SALON 1.0	S AH L AA N
SALONS 1.0	S AH L AA N Z
SALOON 1.0	S AH L UW N
SALOONS 1.0	S AH L UW N Z
SALSA 1.0	S AO L S AH
SALT 1.0	S AO L T
SALTED 1.0	S AO L T AH D
SALTED 1.0	S AO L T IH D
SALTER 1.0	S AO L T ER
SALTS 1.0	S AO L T S
SALTWATER 1.0	S AO L T W AA T ER
SALTY 1.0	S AO L T IY
SALUTARY 1.0	S AE L Y AH T EH R IY
SALUTE 1.0	S AH L UW T
SALUTED 1.0	S AH L UW T AH D
SALUTES 1.0	S AH L UW T S
SALUTING 1.0	S AH L UW T IH NG
SALVADOR 1.0	S AE L V AH D AO R
SALVADOR'S 1.0	S AE L V AH D AO R Z
SALVADORAN 1.0	S AE L V AH D AO R AH N
SALVADORANS 1.0	S AE L V AH D AO R AH N Z
SALVAGE 1.0	S AE L V AH JH
SALVAGE 1.0	S AE L V IH JH
SALVAGEABLE 1.0	S AE L V IH JH AH B AH L
SALVAGED 1.0	S AE L V IH JH D
SALVAGING 1.0	S AE L V IH JH IH NG
SALVATION 1.0	S AE L V EY SH AH N
SALVE 1.0	S AA V
SALVO 1.0	S AE L V OW
SALVOS 1.0	S AE L V OW Z
SALZBURG 1.0	S AO L T S B ER G
SALZBURG 1.0	S AO L Z B ER G
SAM 1.0	S AE M
SAM'S 1.0	S AE M Z
SAMANTHA 1.0	S AH M AE N TH AH
SAMARA 1.0	S AE M ER AH
SAMARITAN 1.0	S AH M EH R IH T AH N
SAMARITANS 1.0	S AH M EH R IH T AH N Z
SAMBA 1.0	S AA M B AH
SAMBO 1.0	S AE M B OW
SAME 1.0	S EY M
SAMENESS 1.0	S EY M N AH S
SAMIR 1.0	S AA M IH R
SAMIR 1.0	S AH M IH R
SAMMY 1.0	S AE M IY
SAMOA 1.0	S AH M OW AH
SAMOAN 1.0	S AH M OW AH N
SAMORA 1.0	S AA M AO R AH
SAMPLE 1.0	S AE M P AH L
SAMPLED 1.0	S AE M P AH L D
SAMPLER 1.0	S AE M P L ER
SAMPLERS 1.0	S AE M P L ER Z
SAMPLES 1.0	S AE M P AH L Z
SAMPLING 1.0	S AE M P L IH NG
SAMPLINGS 1.0	S AE M P L IH NG Z
SAMPRAS 1.0	S AE M P R AH S
SAMPSON 1.0	S AE M P S AH N
SAMS 1.0	S AE M Z
SAMSON 1.0	S AE M S AH N
SAMSUNG 1.0	S AE M S AH NG
SAMUEL 1.0	S AE M Y UW L
SAMUELS 1.0	S AE M Y UW AH L Z
SAMUELSON 1.0	S AE M Y UW AH L S AH N
SAMURAI 1.0	S AE M ER AY
SAMURAI 1.0	S AE M UH R AY
SAN 1.0	S AE N
SANCHEZ 1.0	S AE N CH EH Z
SANCHO 1.0	S AA N K OW
SANCTIFICATION 1.0	S AE NG K T AH F AH K EY SH AH N
SANCTIFY 1.0	S AE NG K T AH F AY
SANCTIMONIOUS 1.0	S AE NG K T AH M OW N IY AH S
SANCTION 1.0	S AE NG K SH AH N
SANCTION 1.0	S AE NG SH AH N
SANCTIONED 1.0	S AE NG K SH AH N D
SANCTIONED 1.0	S AE NG SH AH N D
SANCTIONING 1.0	S AE NG K SH AH N IH NG
SANCTIONING 1.0	S AE NG SH AH N IH NG
SANCTIONS 1.0	S AE NG K SH AH N Z
SANCTIONS 1.0	S AE NG SH AH N Z
SANCTITY 1.0	S AE NG K T IH T IY
SANCTUARIES 1.0	S AE NG K CH UW EH R IY Z
SANCTUARY 1.0	S AE NG K CH UW EH R IY
SANCTUM 1.0	S AE NG K T AH M
SAND 1.0	S AE N D
SANDAL 1.0	S AE N D AH L
SANDALS 1.0	S AE N D AH L Z
SANDBAG 1.0	S AE N D B AE G
SANDBAGGED 1.0	S AE N D B AE G D
SANDBAGGING 1.0	S AE N D B AE G IH NG
SANDBAGS 1.0	S AE N D B AE G Z
SANDBAR 1.0	S AE N D B AA R
SANDBOX 1.0	S AE N D B AA K S
SANDBURG 1.0	S AE N D B ER G
SANDED 1.0	S AE N D IH D
SANDER 1.0	S AE N D ER
SANDERS 1.0	S AE N D ER Z
SANDERSON 1.0	S AE N D ER S AH N
SANDIA 1.0	S AE N D IY AH
SANDING 1.0	S AE N D IH NG
SANDINISTA 1.0	S AE N D IH N IH S T AH
SANDINISTA 1.0	S AE N D IH N IY S T AH
SANDINISTAS 1.0	S AE N D IH N IY S T AH Z
SANDLER 1.0	S AE N D L ER
SANDMAN 1.0	S AE N D M AE N
SANDPAPER 1.0	S AE N D P EY P ER
SANDRA 1.0	S AE N D R AH
SANDS 1.0	S AE N D Z
SANDSTONE 1.0	S AE N D S T OW N
SANDSTONE 1.0	S AE N S T OW N
SANDSTORM 1.0	S AE N D S T AO R M
SANDSTORMS 1.0	S AE N D S T AO R M Z
SANDUSKY 1.0	S AE N D AH S K IY
SANDWICH 1.0	S AE M W IH CH
SANDWICH 1.0	S AE N D W IH CH
SANDWICH 1.0	S AE N W IH CH
SANDWICHED 1.0	S AE M W IH CH T
SANDWICHED 1.0	S AE N D W IH CH T
SANDWICHED 1.0	S AE N W IH CH T
SANDWICHES 1.0	S AE M W IH CH IH Z
SANDWICHES 1.0	S AE N D W IH CH IH Z
SANDWICHES 1.0	S AE N W IH CH IH Z
SANDY 1.0	S AE N D IY
SANE 1.0	S EY N
SANER 1.0	S EY N ER
SANFORD 1.0	S AE N F ER D
SANG 1.0	S AE NG
SANGER 1.0	S AE NG ER
SANGUINE 1.0	S AE NG G W IH N
SANITARY 1.0	S AE N IH T EH R IY
SANITATION 1.0	S AE N AH T EY SH AH N
SANITATION 1.0	S AE N IH T EY SH AH N
SANITIZE 1.0	S AE N IH T AY Z
SANITIZED 1.0	S AE N IH T AY Z D
SANITY 1.0	S AE N AH T IY
SANK 1.0	S AE NG K
SANS 1.0	S AE N Z
SANSKRIT 1.0	S AE N S K R IH T
SANSON 1.0	S AE N S AH N
SANTA 1.0	S AE N AH
SANTA 1.0	S AE N T AH
SANTA'S 1.0	S AE N T AH Z
SANTANA 1.0	S AE N T AE N AH
SANTAS 1.0	S AE N T AH S
SANTE 1.0	S AE N T AH
SANTIAGO 1.0	S AE N T IY AA G OW
SANTOS 1.0	S AE N T OW S
SANTOSH 1.0	S AA N T AA SH
SANYO 1.0	S AA N Y OW
SAP 1.0	S AE P
SAPLING 1.0	S AE P L IH NG
SAPLINGS 1.0	S AE P L IH NG Z
SAPPED 1.0	S AE P T
SAPPHIRE 1.0	S AE F AY ER
SAPPING 1.0	S AE P IH NG
SAPPORO 1.0	S AH P AO R OW
SAPS 1.0	S AE P S
SARA 1.0	S EH R AH
SARACENS 1.0	S EH R AH S AH N Z
SARAH 1.0	S EH R AH
SARAH'S 1.0	S EH R AH Z
SARAJEVO 1.0	S AA R AH Y EY V OW
SARAN 1.0	S ER AE N
SARANDON 1.0	S EH R AE N D IH N
SARANDON 1.0	S EH R AH N D IH N
SARASOTA 1.0	S EH R AH S OW T AH
SARATOGA 1.0	S EH R AH T OW G AH
SARAWAK 1.0	S EH R AH W AA K
SARBANES 1.0	S AA R B EY N Z
SARCASM 1.0	S AA R K AE Z AH M
SARCASTIC 1.0	S AA R K AE S T IH K
SARCASTICALLY 1.0	S AA R K AE S T IH K L IY
SARCOMA 1.0	S AA R K OW M ER
SARCOPHAGUS 1.0	S AA R K AA F AH G AH S
SARDINE 1.0	S AA R D IY N
SARDINES 1.0	S AA R D IY N Z
SARDINIA 1.0	S AA R D IY N IY AH
SARDONIC 1.0	S AA R D AA N IH K
SARGENT 1.0	S AA R JH AH N T
SARI 1.0	S AA R IY
SARIN 1.0	S AA R IH N
SARIS 1.0	S AA R IY Z
SARONG 1.0	S ER AO NG
SARS 1.0	S AA R Z
SARTRE 1.0	S AA R T R AH
SASH 1.0	S AE SH
SASHA 1.0	S AE SH AH
SASHES 1.0	S AE SH IH Z
SASKATCHEWAN 1.0	S AE S K AE CH AH W AO N
SASKATOON 1.0	S AE S K AH T UW N
SASS 1.0	S AE S
SASSY 1.0	S AE S IY
SAT 1.0	S AE T
SATAN 1.0	S EY T AH N
SATANIC 1.0	S AH T AE N IH K
SATANISM 1.0	S EY T AH N IH Z AH M
SATANIST 1.0	S EY T AH N IH S T
SATE 1.0	S EY T
SATED 1.0	S EY T IH D
SATELLITE 1.0	S AE T AH L AY T
SATELLITES 1.0	S AE T AH L AY T S
SATER 1.0	S AE T ER
SATES 1.0	S EY T S
SATIN 1.0	S AE T AH N
SATIRE 1.0	S AE T AY ER
SATIRES 1.0	S AE T AY ER Z
SATIRIC 1.0	S AH T IH R IH K
SATIRICAL 1.0	S AH T IH R AH K AH L
SATIRICAL 1.0	S AH T IH R IH K AH L
SATIRIST 1.0	S AE T ER AH S T
SATISFACTION 1.0	S AE T AH S F AE K SH AH N
SATISFACTION 1.0	S AE T IH S F AE K SH AH N
SATISFACTIONS 1.0	S AE T AH S F AE K SH AH N Z
SATISFACTORILY 1.0	S AE T IH S F AE K T R AH L IY
SATISFACTORY 1.0	S AE T AH S F AE K T R IY
SATISFACTORY 1.0	S AE T IH S F AE K T ER IY
SATISFIED 1.0	S AE T AH S F AY D
SATISFIED 1.0	S AE T IH S F AY D
SATISFIES 1.0	S AE T IH S F AY Z
SATISFY 1.0	S AE T AH S F AY
SATISFY 1.0	S AE T IH S F AY
SATISFYING 1.0	S AE T IH S F AY IH NG
SATURATE 1.0	S AE CH ER EY T
SATURATED 1.0	S AE CH ER EY T AH D
SATURATED 1.0	S AE CH ER EY T IH D
SATURATING 1.0	S AE CH ER EY T IH NG
SATURATION 1.0	S AE CH ER EY SH AH N
SATURDAY 1.0	S AE T ER D IY
SATURDAY 1.0	S AE T IH D EY
SATURDAY'S 1.0	S AE T ER D EY Z
SATURDAY'S 1.0	S AE T ER D IY Z
SATURDAYS 1.0	S AE T ER D EY Z
SATURDAYS 1.0	S AE T ER D IY Z
SATURN 1.0	S AE T ER N
SATURN'S 1.0	S AE T ER N Z
SAUCE 1.0	S AO S
SAUCEPAN 1.0	S AO S P AE N
SAUCER 1.0	S AO S ER
SAUCERS 1.0	S AO S ER Z
SAUCES 1.0	S AO S AH Z
SAUCES 1.0	S AO S IH Z
SAUCY 1.0	S AO S IY
SAUDI 1.0	S AO D IY
SAUDI 1.0	S AW D IY
SAUDIS 1.0	S AO D IY Z
SAUDIS 1.0	S AW D IY Z
SAUERKRAUT 1.0	S AW ER K R AW T
SAUL 1.0	S AO L
SAULT 1.0	S AO L T
SAUNA 1.0	S AO N AH
SAUNAS 1.0	S AO N AH Z
SAUNDERS 1.0	S AO N D ER Z
SAUNTER 1.0	S AO N T ER
SAUSAGE 1.0	S AO S AH JH
SAUSAGE 1.0	S AO S IH JH
SAUSAGES 1.0	S AO S IH JH IH Z
SAUSALITO 1.0	S AO S AH L IY T OW
SAUTE 1.0	S AO T EY
SAUTEED 1.0	S AO T EY D
SAVAGE 1.0	S AE V AH JH
SAVAGE 1.0	S AE V IH JH
SAVAGED 1.0	S AE V IH JH D
SAVAGELY 1.0	S AE V IH JH L IY
SAVAGERY 1.0	S AE V IH JH EH R IY
SAVAGES 1.0	S AE V AH JH AH Z
SAVAGES 1.0	S AE V IH JH IH Z
SAVALAS 1.0	S AH V AA L AH S
SAVANNA 1.0	S AH V AE N AH
SAVANNAH 1.0	S AH V AE N AH
SAVANT 1.0	S AH V AA N T
SAVE 1.0	S EY V
SAVED 1.0	S EY V D
SAVER 1.0	S EY V ER
SAVERS 1.0	S EY V ER Z
SAVES 1.0	S EY V Z
SAVING 1.0	S EY V IH NG
SAVINGS 1.0	S EY V IH NG Z
SAVIOR 1.0	S EY V Y ER
SAVIORS 1.0	S EY V Y ER Z
SAVOR 1.0	S EY V ER
SAVORY 1.0	S EY V ER IY
SAVOY 1.0	S AH V OY
SAVVY 1.0	S AE V IY
SAW 1.0	S AO
SAWDUST 1.0	S AO D AH S T
SAWED 1.0	S AO D
SAWING 1.0	S AO IH NG
SAWMILL 1.0	S AO M IH L
SAWMILLS 1.0	S AO M IH L Z
SAWS 1.0	S AO Z
SAWYER 1.0	S AO Y ER
SAWYER 1.0	S OY ER
SAX 1.0	S AE K S
SAXON 1.0	S AE K S AH N
SAXONS 1.0	S AE K S AH N Z
SAXONY 1.0	S AE K S AH N IY
SAXOPHONE 1.0	S AE K S AH F OW N
SAXOPHONES 1.0	S AE K S AH F OW N Z
SAXOPHONIST 1.0	S AE K S AH F OW N IH S T
SAXTON 1.0	S AE K S T AH N
SAY 1.0	S EY
SAYED 1.0	S AA Y EH D
SAYED 1.0	S EY D
SAYED 1.0	S EY Y IH D
SAYERS 1.0	S EY ER Z
SAYING 1.0	S EY IH NG
SAYINGS 1.0	S EY IH NG Z
SAYS 1.0	S EH Z
SAYS 1.0	S IH Z
SCAB 1.0	S K AE B
SCABBARD 1.0	S K AE B ER D
SCABS 1.0	S K AE B Z
SCADS 1.0	S K AE D Z
SCAFFOLD 1.0	S K AE F AH L D
SCAFFOLDING 1.0	S K AE F AH L D IH NG
SCALAR 1.0	S K EY L ER
SCALDED 1.0	S K AO L D IH D
SCALDING 1.0	S K AO L D IH NG
SCALE 1.0	S K EY L
SCALED 1.0	S K EY L D
SCALES 1.0	S K EY L Z
SCALING 1.0	S K EY L IH NG
SCALLIONS 1.0	S K AE L Y AH N Z
SCALLOP 1.0	S K AE L AH P
SCALLOPED 1.0	S K AA L AH P T
SCALLOPS 1.0	S K AE L AH P S
SCALP 1.0	S K AE L P
SCALPEL 1.0	S K AE L P AH L
SCALPERS 1.0	S K AE L P ER Z
SCALPING 1.0	S K AE L P IH NG
SCALPS 1.0	S K AE L P S
SCAM 1.0	S K AE M
SCAMMED 1.0	S K AE M D
SCAMMER 1.0	S K AE M ER
SCAMMERS 1.0	S K AE M ER Z
SCAMPER 1.0	S K AE M P ER
SCAMPERED 1.0	S K AE M P ER D
SCAMPERING 1.0	S K AE M P ER IH NG
SCAMS 1.0	S K AE M Z
SCAN 1.0	S K AE N
SCANDAL 1.0	S K AE N D AH L
SCANDALOUS 1.0	S K AE N D AH L AH S
SCANDALS 1.0	S K AE N D AH L Z
SCANDINAVIA 1.0	S K AE N D IH N EY V IY AH
